,ρ,Error bar
0,0.63885,0.0681
3,0.6387,0.059
6,0.60843,0.06715
9,0.63748,0.08126
10.5,0.65662,0.06503
12,0.67177,0.05246
13,0.66192,0.07384
14,0.68237,0.07314
