v_r	v_f
2.59	1.56
5.09	2.56
5.13	2.38
4.94	2.54
5.47	2.75
4.91	2.47
5.00	2.47
5.84	2.50
5.00	2.56
5.35	2.66
5.22	2.56
5.41	2.43
5.35	2.50
5.18	2.28
5.00	2.60
