v_r	v_f
4.94	3.06
4.74	2.72
4.59	3.00
4.62	2.94
4.63	3.06
4.37	3.03
4.38	2.81
4.57	2.97
4.65	2.91
4.81	3.19
4.75	2.91
4.31	3.00
4.47	3.25
4.63	2.94
4.36	3.00
