tu_[s],td_[s]
0.53,0.53
0.53,0.53
0.75,0.59
0.69,0.47
1.22,0.88
1.66,1.53
1.16,1.75
2.12,1.59
0.91,1.38
0.79,0.81
0.78,0.69
1.06,1.00
0.97,1.34
0.94,0.62
1.93,1.35
