tu_[s],td_[s]
12.94,5.38
14.40,5.34
14.03,5.19
12.19,5.28
13.29,4.97
14.03,5.13
12.38,5.06
14.19,5.06
13.78,5.13
13.60,4.91
13.47,5.60
14.34,5.13
13.94,5.19
14.50,5.34
13.78,5.19
